"Parlamentar","Data Desbloqueio","Ano de Exercicio","Unidade Orcamentaria Cod","Unidade Orcamentaria Desc","SubTítulo","Código da Emenda","Nota Dotação","Ds Observação","Código Unidade Gestora","Código Programa Trabalho","Código Natureza Despesa","Vl Solicitado"
"CLÁUDIO ABRANTES","2017/01/20 00:00:00","2017","59108","ADMINISTRAÇÃO REGIONAL DE PLANALTINA - RA VI      ","REALIZAÇÃO DE EVENTOS-APOIO À REALIZAÇÃO DA FESTA DO DIVINO DE PLANALTINA- PLANALTINA                                                                                                                                                                     ","475","284 ","","340101","13 .392.6219.3678.0019","339039","300000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS E-PROGRAMA DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS - PDAF-DISTRITO FEDERAL","169","171 ","","160101","12 .122.6221.2387.0007","335043","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS-SE-DISTRITO FEDERAL                                                                                                                                                                              ","4051","171 ","","160101","12 .122.6221.2387.0033","335043","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS-SE-DISTRITO FEDERAL                                                                                                                                                                              ","5056","171 ","","160101","12 .122.6221.2387.0056","335043","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","18101","SECRETARIA DE ESTADO DE  EDUCAÇÃO DO DISTRITO FEDE","REFORMA DE UNIDADES DE ENSINO MÉDIO-REFORMA E AMPLIAÇÃO DO CENTRO INTERESCOLARES DE LINGUAS - CIL - QR 407 DE SAMAMBAIA-REGIÃO XII - SAMAMBAIA","183","171 ","","160101","12 .362.6221.3237.0007","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","23901","FUNDO DE SAÚDE DO DISTRITO FEDERAL                ","CONSTRUÇÃO DE UNIDADES BÁSICAS DE SAÚDE- RIACHO FUNDO II- RIACHO FUNDO II                                                                                                                                                                                 ","174","171 ","","170901","10 .301.6202.3135.0009","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59104","ADMINISTRAÇÃO REGIONAL DO GAMA - RA II            ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-REALIZAÇÃO DE OBRAS DE INFRA-ESTRUTURA E URBANIZAÇÃO NA REGIÃO ADMINISTRATIVA DO GAMA-REGIÃO II - GAMA- GAMA                                                                                                             ","541","171 ","","190104","15 .451.6210.1110.0087","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59104","ADMINISTRAÇÃO REGIONAL DO GAMA - RA II            ","CONSTRUÇÃO DE QUADRAS DE ESPORTES-- GAMA                                                                                                                                                                                                                  ","4022","171 ","","190104","27 .812.6206.1745.0021","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59105","ADMINISTRAÇÃO REGIONAL DE TAGUATINGA - RA III     ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-REALIZAÇÃO DE OBRAS DE INFRA-ESTRUTURA E URBANIZAÇÃO NA REGIÃO ADMINISTRATIVA DE TAGUATINGA- TAGUATINGA                                                                                                                  ","201","171 ","","190105","15 .451.6210.1110.0092","449051","250000"
"JÚLIO CÉSAR","2017/01/27 00:00:00","2017","59107","ADMINISTRAÇÃO REGIONAL DE SOBRADINHO - RA V       ","EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-REALIZAÇÃO DE OBRAS DE INFRA-ESTRUTURA E URBANIZAÇÃO NA REGIÃO ADMINISTRATIVA DE SOBRADINHO- SOBRADINHO                                                                                                                  ","193","171 ","","190107","15 .451.6210.1110.0098","449051","250000"
